"","ISO.code","country","RefDate","mstatus","agegroup","G1.1_Using_Limit","G1.2_Using_Space","G2.1_Unmet_Limit","G2.2_Unmet_Space","G2.3_No_Unmet","G4.1_Unmet_Limit","G4.2_Unmet_Space","G4.3_No_Unmet","Missing","G5_total","G7.1_cp_limiting","G7.2_cp_space","G8.1_unmet_limit","G8.2_unmet_space","G8.3_unmet_total","G8.4_LUP","G7.3_cp_total","G7.4_cp_limiting_proportion","X","Major.area_d"
"28",120,"Cameroon",2004.42896174863,"Married/In-union","[Total]",592.65395,1267.41157,95.42757,360.7987,1660.73886,366.7662,646.86533,1204.26419,0,7165.54898,0.082708799,0.176875711,0.064502213,0.140626215,0.205128428,0.314447946727306,0.25958451,0.318619932291029,35,"Africa"
"29",120,"Cameroon",2011.33150684932,"Married/In-union","[Total]",831.514667,1456.500881,183.63033,564.876794,2355.675008,623.620051,928.169514,1397.536376,0,9791.802587,0.084919468,0.148746961,0.082441448,0.152479208,0.234920656,0.350933159321673,0.233666429,0.363421773351961,35,"Africa"
"30",140,"Central African Republic",1994.93424657534,"Married/In-union","[Total]",118.433148,484.6836,93.724207,202.321801,987.697563,124.457259,358.162084,764.30489,2.825615,4083.099881,0.029005695,0.118704811,0.053435251,0.137269208,0.190704458,0.280199275677132,0.147710506,0.196368530482185,39,"Africa"
"31",148,"Chad",1997.23835616438,"Married/In-union","[Total]",58.557298,182.880752,26.098056,229.303205,2453.592825,181.638744,579.33068,1001.405181,0,5832.489235,0.010039847,0.031355523,0.035617177,0.138643014,0.17426019,0.204390784837317,0.04139537,0.24253550578241,40,"Africa"
"32",148,"Chad",2004.74863387978,"Married/In-union","[Total]",55.312906,460.584599,15.325983,317.434321,1580.743402,110.333537,516.667612,773.874974,0.233875,4663.055099,0.011861946,0.098773141,0.026947895,0.178874561,0.205822456,0.130927866296572,0.110635087,0.107216854269749,40,"Africa"
"33",148,"Chad",2015.04109589041,"Married/In-union","[Total]",206.391431,543.008117,85.209275,742.748455,5237.271958,420.256831,1793.376528,1842.931584,0,13262.56139,0.015561959,0.04094293,0.038112254,0.191224373,0.229336627,0.166184767337666,0.056504889,0.275409071239836,40,"Africa"
"34",170,"Colombia",1990.48219178082,"Married/In-union","[Total]",2072.492042,868.367148,148.832715,106.520723,286.306675,249.72764,105.849134,212.745102,0,4449.925085,0.465736389,0.19514197,0.089565633,0.047724367,0.137289999,0.652382793010291,0.660878359,0.704723316564221,45,"Latin America and the Caribbean"
"35",170,"Colombia",1995.38630136986,"Married/In-union","[Total]",3249.520113,1152.345787,144.785683,198.996964,328.02396,259.191727,90.794446,289.873791,0,6097.090397,0.53296243,0.188999295,0.066257409,0.047529459,0.113786868,0.582293986683947,0.721961725,0.738214245360445,45,"Latin America and the Caribbean"
"36",170,"Colombia",2000.29508196721,"Married/In-union","[Total]",3476.630355,1089.186678,119.001281,179.200065,234.542801,218.524439,79.095146,246.767736,0,5934.611982,0.58582269,0.183531237,0.056874101,0.043523521,0.100397622,0.566488526989215,0.769353927,0.761447585358201,45,"Latin America and the Caribbean"
"37",170,"Colombia",2005.12876712329,"Married/In-union","[Total]",12120.18065,3343.083708,346.597651,457.446164,737.775602,628.722203,287.463274,850.847726,0,19799.48533,0.612146247,0.168847,0.049259859,0.037622667,0.086882526,0.566970842905742,0.780993247,0.783804788775594,45,"Latin America and the Caribbean"
